"","X","POLY_ID","Species","Product","sum","Link","POLY_ID.1","Species.1","total","percentage","join"
"364",364,"475-02","EP","Small Sawlog",3726,"EP475-02","475-02","EP",3736,99.7323340471092,"475-02EPSmall Sawlog"
"365",365,"475-02","H","Small Sawlog",48,"H475-02","475-02","H",48,100,"475-02HSmall Sawlog"
"366",366,"475-02","PL","Large Sawlog",8815,"PL475-02","475-02","PL",230038,3.83197558664221,"475-02PLLarge Sawlog"
"367",367,"475-02","PL","Small Sawlog",92646,"PL475-02","475-02","PL",230038,40.274215564385,"475-02PLSmall Sawlog"
"368",368,"475-02","PL","Stud",128577,"PL475-02","475-02","PL",230038,55.8938088489728,"475-02PLStud"
"369",369,"475-03","AT","Large Sawlog",492,"AT475-03","475-03","AT",14580,3.37448559670782,"475-03ATLarge Sawlog"
"370",370,"475-03","AT","Small Sawlog",14088,"AT475-03","475-03","AT",14580,96.6255144032922,"475-03ATSmall Sawlog"
"371",371,"475-03","B","Large Sawlog",2271,"B475-03","475-03","B",109713,2.06994613218124,"475-03BLarge Sawlog"
"372",372,"475-03","B","Small Sawlog",52890,"B475-03","475-03","B",109713,48.2075961827678,"475-03BSmall Sawlog"
"373",373,"475-03","B","Stud",54552,"B475-03","475-03","B",109713,49.722457685051,"475-03BStud"
"374",374,"475-03","C","Large Sawlog",11832,"C475-03","475-03","C",343596,3.44357908706737,"475-03CLarge Sawlog"
"375",375,"475-03","C","Small Sawlog",331764,"C475-03","475-03","C",343596,96.5564209129326,"475-03CSmall Sawlog"
"376",376,"475-03","DF","Large Sawlog",45456,"DF475-03","475-03","DF",617928,7.35619683846662,"475-03DFLarge Sawlog"
"377",377,"475-03","DF","Small Sawlog",318162,"DF475-03","475-03","DF",617928,51.4885229347108,"475-03DFSmall Sawlog"
"378",378,"475-03","DF","Stud",254310,"DF475-03","475-03","DF",617928,41.1552802268225,"475-03DFStud"
"379",379,"475-03","EP","Large Sawlog",6,"EP475-03","475-03","EP",3732,0.160771704180064,"475-03EPLarge Sawlog"
"380",380,"475-03","EP","Small Sawlog",3726,"EP475-03","475-03","EP",3732,99.8392282958199,"475-03EPSmall Sawlog"
"381",381,"475-03","H","Small Sawlog",48,"H475-03","475-03","H",48,100,"475-03HSmall Sawlog"
"382",382,"475-03","PL","Large Sawlog",5289,"PL475-03","475-03","PL",226512,2.33497563043018,"475-03PLLarge Sawlog"
"383",383,"475-03","PL","Small Sawlog",92646,"PL475-03","475-03","PL",226512,40.9011443102352,"475-03PLSmall Sawlog"
"384",384,"475-03","PL","Stud",128577,"PL475-03","475-03","PL",226512,56.7638800593346,"475-03PLStud"
"385",385,"475-04","AT","Large Sawlog",492,"AT475-04","475-04","AT",12232,4.0222367560497,"475-04ATLarge Sawlog"
"386",386,"475-04","AT","Small Sawlog",11740,"AT475-04","475-04","AT",12232,95.9777632439503,"475-04ATSmall Sawlog"
"387",387,"475-04","B","Large Sawlog",2271,"B475-04","475-04","B",82714,2.74560533887855,"475-04BLarge Sawlog"
"388",388,"475-04","B","Small Sawlog",44075,"B475-04","475-04","B",82714,53.2860217133738,"475-04BSmall Sawlog"
"389",389,"475-04","B","Stud",36368,"B475-04","475-04","B",82714,43.9683729477477,"475-04BStud"
"390",390,"475-04","C","Large Sawlog",11832,"C475-04","475-04","C",288302,4.10402980208254,"475-04CLarge Sawlog"
"391",391,"475-04","C","Small Sawlog",276470,"C475-04","475-04","C",288302,95.8959701979175,"475-04CSmall Sawlog"
"392",392,"475-04","DF","Large Sawlog",45456,"DF475-04","475-04","DF",480131,9.46741618433303,"475-04DFLarge Sawlog"
"393",393,"475-04","DF","Small Sawlog",265135,"DF475-04","475-04","DF",480131,55.2213874963291,"475-04DFSmall Sawlog"
"394",394,"475-04","DF","Stud",169540,"DF475-04","475-04","DF",480131,35.3111963193378,"475-04DFStud"
"395",395,"475-04","EP","Large Sawlog",6,"EP475-04","475-04","EP",3111,0.192864030858245,"475-04EPLarge Sawlog"
"396",396,"475-04","EP","Small Sawlog",3105,"EP475-04","475-04","EP",3111,99.8071359691418,"475-04EPSmall Sawlog"
"397",397,"475-04","H","Small Sawlog",40,"H475-04","475-04","H",40,100,"475-04HSmall Sawlog"
"398",398,"475-04","PL","Large Sawlog",5289,"PL475-04","475-04","PL",168212,3.14424654602525,"475-04PLLarge Sawlog"
"399",399,"475-04","PL","Small Sawlog",77205,"PL475-04","475-04","PL",168212,45.8974389460918,"475-04PLSmall Sawlog"
"400",400,"475-04","PL","Stud",85718,"PL475-04","475-04","PL",168212,50.9583145078829,"475-04PLStud"
"401",401,"475-07","AT","Large Sawlog",492,"AT475-07","475-07","AT",12232,4.0222367560497,"475-07ATLarge Sawlog"
"402",402,"475-07","AT","Small Sawlog",11740,"AT475-07","475-07","AT",12232,95.9777632439503,"475-07ATSmall Sawlog"
"403",403,"475-07","B","Large Sawlog",2271,"B475-07","475-07","B",82714,2.74560533887855,"475-07BLarge Sawlog"
"404",404,"475-07","B","Small Sawlog",44075,"B475-07","475-07","B",82714,53.2860217133738,"475-07BSmall Sawlog"
"405",405,"475-07","B","Stud",36368,"B475-07","475-07","B",82714,43.9683729477477,"475-07BStud"
"406",406,"475-07","C","Large Sawlog",11832,"C475-07","475-07","C",288302,4.10402980208254,"475-07CLarge Sawlog"
"407",407,"475-07","C","Small Sawlog",276470,"C475-07","475-07","C",288302,95.8959701979175,"475-07CSmall Sawlog"
"408",408,"475-07","DF","Large Sawlog",45456,"DF475-07","475-07","DF",480131,9.46741618433303,"475-07DFLarge Sawlog"
"409",409,"475-07","DF","Small Sawlog",265135,"DF475-07","475-07","DF",480131,55.2213874963291,"475-07DFSmall Sawlog"
"410",410,"475-07","DF","Stud",169540,"DF475-07","475-07","DF",480131,35.3111963193378,"475-07DFStud"
"411",411,"475-07","EP","Large Sawlog",6,"EP475-07","475-07","EP",3111,0.192864030858245,"475-07EPLarge Sawlog"
"412",412,"475-07","EP","Small Sawlog",3105,"EP475-07","475-07","EP",3111,99.8071359691418,"475-07EPSmall Sawlog"
"413",413,"475-07","H","Small Sawlog",40,"H475-07","475-07","H",40,100,"475-07HSmall Sawlog"
"414",414,"475-07","PL","Large Sawlog",5289,"PL475-07","475-07","PL",168212,3.14424654602525,"475-07PLLarge Sawlog"
"415",415,"475-07","PL","Small Sawlog",77205,"PL475-07","475-07","PL",168212,45.8974389460918,"475-07PLSmall Sawlog"
"416",416,"475-07","PL","Stud",85718,"PL475-07","475-07","PL",168212,50.9583145078829,"475-07PLStud"
"417",417,"475-10","AT","Large Sawlog",492,"AT475-10","475-10","AT",9884,4.97774180493727,"475-10ATLarge Sawlog"
